Nome,Categoria,Avaliacao
Sudoku,Quebra-cabeca,4.8
Solitario,Cartas,4.7
Pilha Palavras,Palavras,4.7
Palavras Conectadas,Palavras,4.7
Energy,Quebra-cabeca,4.7
Narcos,Estrategia,4.6
Crazy Chef,Estrategia,4.6
Words of Wonders,Palavras,4.6
Vampires Fall,RPG,4.6
Exiled Kingdoms,RPG,4.6
Archero,Acao,4.5
Sniper 3D,Acao,4.5
Buraco,Cartas,4.5
FreeCell,Cartas,4.5
Real Racing 3,Corrida,4.5
CodyCross,Palavras,4.5
Caca-palavras,Palavras,4.5
Jewels Classico ,Quebra-cabeca,4.5
Block Puzzle,Quebra-cabeca,4.5
Spot Conect,Quebra-cabeca,4.5
Temple Run 2,Acao,4.4
Paciencia,Cartas,4.4
Corrida de Rua 3D,Corrida,4.4
Basketball,Esportes,4.4
Estalido Tenis 3D,Esportes,4.4
Atirador de Bolhas,Estrategia,4.4
Evil Lands,RPG,4.4
Snowboard Master 3D,Esportes,4.3
Furia Sniper,Acao,4.2
Corrida de Moto Real 3D,Corrida,4.2
Pes 2019,Esportes,4.2
Xadrez,Estrategia,4.2
Fifa Futebol,Esportes,4.1
Nova Fantasia ,RPG,4.1
The Journey Jogo de surf,Esportes,4.0
Influence,Estrategia,4.0
Correndo no carro,Corrida,3.9
Order & Chaos 2,RPG,3.9
Super Mario Run,Acao,3.8
Futebol,Esportes,2.8
