Nome,Categoria,Avaliacao
Temple Run 2,Acao,4.4
Archero,Acao,4.5
Super Mario Run,Acao,3.8
Sniper 3D,Acao,4.5
Furia Sniper,Acao,4.2
Paciencia,Cartas,4.4
Buraco,Cartas,4.5
Solitario,Cartas,4.7
FreeCell,Cartas,4.5
Real Racing 3,Corrida,4.5
Corrida de Moto Real 3D,Corrida,4.2
Correndo no carro,Corrida,3.9
Corrida de Rua 3D,Corrida,4.4
Basketball,Esportes,4.4
The Journey Jogo de surf,Esportes,4.0
Estalido Tenis 3D,Esportes,4.4
Pes 2019,Esportes,4.2
Futebol,Esportes,2.8
Snowboard Master 3D,Esportes,4.3
Fifa Futebol,Esportes,4.1
Narcos,Estrategia,4.6
Crazy Chef,Estrategia,4.6
Influence,Estrategia,4.0
Xadrez,Estrategia,4.2
Atirador de Bolhas,Estrategia,4.4
CodyCross,Palavras,4.5
Pilha Palavras,Palavras,4.7
Caca-palavras,Palavras,4.5
Palavras Conectadas,Palavras,4.7
Words of Wonders,Palavras,4.6
Jewels Classico ,Quebra-cabeca,4.5
Block Puzzle,Quebra-cabeca,4.5
Spot Conect,Quebra-cabeca,4.5
Energy,Quebra-cabeca,4.7
Sudoku,Quebra-cabeca,4.8
Nova Fantasia ,RPG,4.1
Evil Lands,RPG,4.4
Vampires Fall,RPG,4.6
Exiled Kingdoms,RPG,4.6
Order & Chaos 2,RPG,3.9
